onset	duration	trial_type
46.001	10.001	negative_arousal
60.001	10.001	negative_arousal
74.001	10.0	negative_arousal
88.001	10.001	negative_arousal
116.001	10.001	positive_valence
130.002	9.999	positive_valence
144.001	10.0	positive_valence
158.001	10.001	positive_valence
186.001	9.999	positive_arousal
200.001	10.001	positive_arousal
214.001	9.999	positive_arousal
228.002	10.0	positive_arousal
256.0	10.002	negative_valence
270.0	10.002	negative_valence
284.001	10.001	negative_valence
298.001	10.001	negative_valence
326.001	10.001	positive_valence
340.002	10.0	positive_valence
354.001	10.001	positive_valence
368.002	9.999	positive_valence
396.0	10.002	positive_arousal
410.002	9.999	positive_arousal
424.001	10.001	positive_arousal
438.001	10.0	positive_arousal
466.002	10.0	negative_arousal
480.002	10.0	negative_arousal
494.002	9.998	negative_arousal
508.002	10.0	negative_arousal
536.002	9.999	negative_valence
550.001	10.0	negative_valence
564.002	9.999	negative_valence
578.002	9.999	negative_valence
