onset	duration	trial_type
46.001	10.001	positive_arousal
60.002	9.999	positive_arousal
74.002	9.998	positive_arousal
88.0	10.0	positive_arousal
116.001	9.999	negative_valence
130.001	10.001	negative_valence
144.001	10.001	negative_valence
158.0	10.001	negative_valence
186.001	10.001	positive_valence
200.004	9.998	positive_valence
214.0	10.002	positive_valence
228.002	10.0	positive_valence
256.001	10.001	negative_arousal
270.0	10.001	negative_arousal
284.0	10.001	negative_arousal
298.002	9.999	negative_arousal
326.002	9.999	positive_valence
340.001	10.001	positive_valence
354.002	9.999	positive_valence
368.001	10.0	positive_valence
396.002	9.999	positive_arousal
410.001	9.999	positive_arousal
424.002	9.998	positive_arousal
438.001	9.999	positive_arousal
466.001	10.002	negative_valence
480.001	10.002	negative_valence
494.0	10.0	negative_valence
508.001	9.999	negative_valence
536.004	9.997	negative_arousal
550.0	10.002	negative_arousal
564.002	10.0	negative_arousal
578.0	10.002	negative_arousal
