onset	duration	trial_type
46.001	10.001	positive_valence
60.0	10.002	positive_valence
74.001	10.0	positive_valence
88.001	10.0	positive_valence
116.0	10.001	positive_arousal
130.0	10.001	positive_arousal
144.0	10.001	positive_arousal
158.0	10.001	positive_arousal
186.002	9.999	negative_arousal
200.001	10.0	negative_arousal
214.001	9.999	negative_arousal
228.001	9.999	negative_arousal
256.002	9.999	negative_valence
270.001	10.001	negative_valence
284.0	10.002	negative_valence
298.0	10.002	negative_valence
326.0	10.002	negative_arousal
340.002	10.0	negative_arousal
354.002	9.999	negative_arousal
368.002	9.999	negative_arousal
396.002	9.999	positive_valence
410.002	9.999	positive_valence
424.002	9.999	positive_valence
438.002	9.999	positive_valence
466.001	10.0	positive_arousal
480.0	10.001	positive_arousal
494.001	10.0	positive_arousal
508.001	9.999	positive_arousal
536.001	9.999	negative_valence
550.001	9.999	negative_valence
564.001	10.001	negative_valence
578.0	10.002	negative_valence
