onset	duration	trial_type
46.001	9.999	positive_arousal
60.0	10.0	positive_arousal
74.001	9.999	positive_arousal
88.001	9.999	positive_arousal
116.0	10.0	negative_valence
130.0	10.0	negative_valence
144.0	10.002	negative_valence
158.001	10.001	negative_valence
186.001	10.001	positive_valence
200.002	10.0	positive_valence
214.002	9.999	positive_valence
228.0	10.002	positive_valence
256.002	10.0	negative_arousal
270.002	9.999	negative_arousal
284.002	9.999	negative_arousal
298.002	9.999	negative_arousal
326.002	9.998	positive_valence
340.001	9.999	positive_valence
354.002	10.0	positive_valence
368.002	9.998	positive_valence
396.001	10.001	positive_arousal
410.002	9.998	positive_arousal
424.0	10.002	positive_arousal
438.001	10.001	positive_arousal
466.0	10.002	negative_valence
480.001	10.001	negative_valence
494.002	10.0	negative_valence
508.002	9.999	negative_valence
536.002	10.0	negative_arousal
550.002	10.0	negative_arousal
564.002	9.999	negative_arousal
578.002	9.999	negative_arousal
