onset	duration	trial_type
46.0	10.002	positive_valence
60.001	10.0	positive_valence
74.001	10.001	positive_valence
88.001	10.001	positive_valence
116.002	10.0	positive_arousal
130.0	10.002	positive_arousal
144.001	10.0	positive_arousal
158.0	10.001	positive_arousal
186.0	10.002	negative_arousal
200.001	10.0	negative_arousal
214.001	10.0	negative_arousal
228.001	10.0	negative_arousal
256.001	9.999	negative_valence
270.001	9.999	negative_valence
284.001	10.0	negative_valence
298.001	10.0	negative_valence
326.001	10.001	negative_arousal
340.001	10.001	negative_arousal
354.0	10.002	negative_arousal
368.0	10.002	negative_arousal
396.0	10.002	positive_valence
410.0	10.002	positive_valence
424.0	10.0	positive_valence
438.001	10.001	positive_valence
466.002	10.0	positive_arousal
480.0	10.002	positive_arousal
494.002	10.001	positive_arousal
508.002	9.999	positive_arousal
536.002	9.999	negative_valence
550.002	10.0	negative_valence
564.001	10.0	negative_valence
578.002	9.999	negative_valence
