	negative_arousal	negative_valence	positive_arousal	positive_valence	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	csf	white_matter	drift_1	drift_2	drift_3	drift_4	drift_5	drift_6	drift_7	drift_8	drift_9	drift_10	drift_11	drift_12	constant
0.0	0.0	0.0	0.0	0.0	0.0006563974091022	-0.0068673603867921	0.1460647231619916	0.0029632284622027	-0.0004338872379296	-0.0012728581982419	1672.6644307049835	910.8687263596224	0.08032090174560083	0.08031780833812863	0.08031265274725741	0.08030543510535848	0.08029615559774696	0.0802848144626769	0.08027141199133532	0.08025594852783459	0.08023842446920372	0.08021884026537807	0.08019719641918784	0.08017349348634517	1.0
2.0	0.0	0.0	0.0	0.0	-0.0204433512395354	-0.0323982788166006	0.1460481962443367	0.0015031825753075	-0.001080945931899	-0.0005896886152158	1674.2131173827431	912.9596012770962	0.08031265274725741	0.0802848144626769	0.08023842446920372	0.08017349348634517	0.08009003651794348	0.0799880728487089	0.07986762603976345	0.07972872392319656	0.07957139859563382	0.07939568641082032	0.07920162797122021	0.07898926811863456	1.0
4.0	0.0	0.0	0.0	0.0	-0.007333871741693	-0.0508553593225258	0.1191303899635158	0.0008812471658864	-0.0008907522143128	-0.0005701077547696	1683.0920258218591	911.6394885081976	0.08029615559774696	0.08021884026537807	0.08009003651794348	0.07990982702805212	0.07967832746305821	0.07939568641082032	0.07906208528433026	0.07867773820527328	0.07824289186659421	0.07775782537415772	0.07722285006760443	0.07663830932051766	1.0
6.0	0.0	0.0	0.0	0.0	-0.0037217340230029	-0.0323442302494925	0.1274133445730427	0.0008637472044388	-0.0008907468752852	-0.0005701157738958	1674.3442937027323	909.1480525314976	0.08027141199133532	0.08011991284787363	0.07986762603976345	0.07951486893377797	0.07906208528433026	0.07850984467524781	0.07785884180325876	0.07710989560409101	0.07626394822228363	0.07532206382600655	0.07428542726837921	0.07315534259697255	1.0
8.0	0.0	0.0	0.0	0.0	-0.0037128038425606	-0.0323298427004772	0.1152242043584124	0.0008817471696188	-0.0008907520052721	-0.0005701077552151	1666.2670146552	906.7265153567892	0.08023842446920372	0.0799880728487089	0.07957139859563382	0.07898926811863456	0.07824289186659421	0.07733382181168452	0.07626394822228363	0.07503549573245985	0.07365101871619455	0.07211339597596281	0.07042582475671583	0.06859181409771226	1.0
10.0	0.0	0.0	0.0	0.0	-0.0035910767869324	0.0010163298653651	0.1039710575933767	0.0014047641488731	-0.0008319009161574	-0.0005694159399421	1669.0493801073594	906.281699270329	0.08019719641918784	0.07982337442663898	0.07920162797122021	0.07833388814338105	0.07722285006760443	0.07587196453158433	0.07428542726837921	0.07246816592482967	0.07042582475671583	0.06816474709818933	0.06569195565992891	0.06301513071721138	1.0
12.0	0.0	0.0	0.0	0.0	-0.0037347879120801	0.0130682202769207	0.0982698141951701	0.0011147484285702	-0.0008853184214585	-0.0005700066734015	1666.8416721604087	907.0612868446028	0.08014773207542983	0.07962588523838078	0.07875865592383963	0.0775498057955959	0.07600457832002938	0.0741296760222323	0.07193323141336898	0.06942477171537748	0.06661517753602234	0.06351663567354772	0.060142586255644157	0.056507664442016874	1.0
14.0	0.0	0.0	0.0	0.0	-0.0268221069739809	0.0114449936548624	0.0881970406263477	0.0012999980207925	-0.0004120084662557	-1.2232220758356298e-05	1666.4549590240824	907.0770283443828	0.08009003651794348	0.07939568641082032	0.07824289186659421	0.07663830932051766	0.07459120390997251	0.07211339597596281	0.06921919281041977	0.06592530604342141	0.06225075514734767	0.05821675761515454	0.053846606446896844	0.04916553565191384	1.0
16.0	0.0	0.0	0.0	0.0	-0.0226313366244852	-0.0076406492590592	0.0831207673280403	0.0009359864897033	-0.0003960309625001	-6.681463154190167e-05	1669.3324907259507	907.7026777756382	0.08002411567209254	0.07913287250768641	0.07765481248997472	0.07560089630446151	0.07298635494927365	0.06983057678833965	0.06615696377525283	0.061992757914003264	0.057368839243474655	0.0523194968437698	0.046882174562487784	0.041097193346542306	1.0
18.0	0.0	0.0	0.0	0.0	-0.026952969720881	-0.0049095982512312	0.0772549639818507	0.0010839912561463	-0.0002490360530327	-6.686506983718415e-05	1669.2567030733285	908.4078645088304	0.07994997630798213	0.07883755149070468	0.0769949613212834	0.07443927121428882	0.07119415106219802	0.0672896560132722	0.06276194811146674	0.0576529613764463	0.05201001342561452	0.045885367235176756	0.03933574709904926	0.032421813268630986	1.0
20.0	0.0	0.0	0.0	0.0	-0.0243967754869913	-0.0189731442616789	0.0507061884449129	0.0008399962383425	-0.0001165282865684	-6.695122044205463e-05	1671.0115478038788	907.8022503748074	0.07986762603976345	0.07850984467524781	0.07626394822228363	0.07315534259697255	0.06921919281041977	0.06450002517687661	0.05905122362542362	0.05293442581299188	0.046218825869982244	0.03898039166592807	0.03130100544960912	0.02326753758482435	1.0
22.0	0.0	0.0	0.0	0.0	-0.0268955748999104	-0.0045941928643173	0.0542821391538126	0.0010119911673808	-0.000255033649952	-6.687099421087093e-05	1671.2418740879405	909.8688434611576	0.07977707332485186	0.07814988668050024	0.07546244882554035	0.07175121994385963	0.06706654988344614	0.06147199506534961	0.05504345622046875	0.04786814865239818	0.040043418996669675	0.03167542452928908	0.022877692942250085	0.013769582125397068	1.0
